[Script Info]
; Script generated by Aegisub 3.2.2
; http://www.aegisub.org/
Title: HorribleSubs
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 1280
PlayResY: 720
ScaledBorderAndShadow: yes
YCbCr Matrix: TV.601

[Aegisub Project Garbage]
Last Style Storage: Prince Of Stride
Audio File: [HorribleSubs] Ao no Exorcist - Kyoto Fujouou-hen - 06 [720p].mkv
Video File: [HorribleSubs] Ao no Exorcist - Kyoto Fujouou-hen - 06 [720p].mkv
Video AR Mode: 4
Video AR Value: 1.777778
Video Zoom Percent: 0.500000
Scroll Position: 369
Active Line: 378
Video Position: 35152

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Up,Hacen Typographer Bold,85,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,0,8,15,15,15,1
Style: Default,Hacen Typographer Bold,85,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,0,2,15,15,15,1
Style: Title,Hacen Beirut,60,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2,0,9,15,15,15,1
Style: Staff,Hacen Typographer Bold,85,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,1,0,7,30,30,30,1
Style: Group,Spawned,60,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2,2,7,30,30,30,1

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:00.00,0:00:05.00,Default,,0,0,0,,{\pos(236.65,89.333)}Ms.Vampire :ترجمة وإنتاج
Dialogue: 0,0:00:01.00,0:00:01.96,Default,NTP,0,0,0,,...لا أُصدّق هذا
Dialogue: 0,0:00:02.12,0:00:04.38,Default,NTP,0,0,0,,،نَصل الشّيطان هو الموضوع الرّئيسيّ للعبادة لَدى طائفة الميودا
Dialogue: 0,0:00:04.38,0:00:06.88,Default,NTP,0,0,0,,و كانت له صِلةٌ مع أبي من خِلاله؟
Dialogue: 0,0:00:05.00,0:00:10.00,Group,,0,0,0,,{\blur2\pos(24.7,15.333)\c&HCEC4B3&\fs50}www.ALPhantom.com
Dialogue: 0,0:00:06.88,0:00:08.59,Default,NTP,0,0,0,,!أسرِع، إستمرّ بالقِراءة
Dialogue: 0,0:00:08.59,0:00:09.51,Default,NTP,0,0,0,,.أوه، حسناً
Dialogue: 0,0:00:09.92,0:00:12.76,Default,NTP,0,0,0,,...يا إلهي، يُخالِجني شُعورٌ سيٌّ حيال هذا
Dialogue: 0,0:00:12.76,0:00:16.14,Default,NTP,0,0,0,,...لا أعلَم ما يُريد وَالِد سوغورو أن يطلُب منّي أن أفعل، لكن
Dialogue: 0,0:00:16.47,0:00:17.39,Default,NTP,0,0,0,,رين؟
Dialogue: 0,0:00:17.39,0:00:20.73,Default,NTP,0,0,0,,.يوكيو، إستمرّ بقراءة الرّسالة
Dialogue: 0,0:00:31.74,0:00:34.36,Default,NTP,0,0,0,,.إذاً هذا هو المَقرّ السّابق لطائفة الميودا
Dialogue: 0,0:00:35.62,0:00:38.33,Default,NTP,0,0,0,,.قاعة غوما في الخلف. علينا أن نُسرِع
Dialogue: 0,0:00:38.33,0:00:39.20,Default,NTP,0,0,0,,.بالفِعل
Dialogue: 0,0:00:39.54,0:00:42.83,Default,NTP,0,0,0,,هل تظنّ حقّاً بأنّ الوَضع سيكون آمناً هناك مع هذا؟
Dialogue: 0,0:00:43.42,0:00:47.67,Default,NTP,0,0,0,,.لَقد بُنِيَ مَعبد فودوبو-جي بالقُرب من قاعة غوما لحمايتها
Dialogue: 0,0:00:47.67,0:00:50.80,Default,NTP,0,0,0,,.أتوَقّع بأنّ العين اليُمنى قد تمّ ختمها هناك في الأساس
Dialogue: 0,0:00:51.46,0:00:54.22,Default,NTP,0,0,0,,إعادتها لمكان راحتها الأساسيّ هو الخيار الأكثر حِكمة، ألا تتّفقين معي؟
Dialogue: 0,0:01:00.10,0:01:02.93,Default,NTP,0,0,0,,{\i1}.لَقد مرّ الكثير من الوَقت منذ المرّة الأخيرة التي ذهبتُ فيها إلى هذا الجّبل{\i0}
Dialogue: 0,0:01:03.31,0:01:08.31,Default,NTP,0,0,0,,!سبعة! ثمانية! تسعة! عشرة
Dialogue: 0,0:01:08.86,0:01:10.90,Default,NTP,0,0,0,,!عودي إلى هُنا، أيّتها القرود
Dialogue: 0,0:01:10.90,0:01:13.07,Default,NTP,0,0,0,,!أوه-أه، ها هي قادمة! أُهربوا
Dialogue: 0,0:01:13.90,0:01:15.53,Default,NTP,0,0,0,,{\i1}...هذا يُعيد لي الذّكريات{\i0}
Dialogue: 0,0:01:19.37,0:01:20.33,Default,NTP,0,0,0,,!ماموشي
Dialogue: 0,0:01:20.79,0:01:22.45,Default,NTP,0,0,0,,!إبقي بعيدةً عن هذا المكان
Dialogue: 0,0:01:29.17,0:01:30.30,Default,NTP,0,0,0,,.أوه، يا إلهي
Dialogue: 0,0:01:30.55,0:01:32.67,Default,NTP,0,0,0,,.إذاً فقد كنتِ هُنا، ماموشي
Dialogue: 0,0:01:33.13,0:01:35.18,Default,NTP,0,0,0,,.كان وَالِدكِ قلِقاً جدّاً عليكِ
Dialogue: 0,0:01:36.05,0:01:37.93,Default,NTP,0,0,0,,هل أنتِ مُستعدّةٌ للذّهاب إلى المنزل؟
Dialogue: 0,0:01:37.93,0:01:39.05,Default,NTP,0,0,0,,{\i1}.آنسة هوجو{\i0}
Dialogue: 0,0:01:40.81,0:01:42.60,Default,NTP,0,0,0,,هل هذه هي قاعة غوما؟
Dialogue: 0,0:01:43.48,0:01:44.43,Default,NTP,0,0,0,,.نعم
Dialogue: 0,0:01:44.77,0:01:49.61,Default,NTP,0,0,0,,.كان هذا في الماضي مكاناً مُقدّساً لا يُسمح سوى لرئيس الكهنة بدُخوله
Dialogue: 0,0:01:51.02,0:01:56.49,Default,NTP,0,0,0,,{\i1}.إن فعلتُ هذا، أشكّ في أنّ الآخرين سيُسامحونني على الإطلاق{\i0}
Dialogue: 0,0:01:57.78,0:02:02.41,Default,NTP,0,0,0,,...لكنّها الآن لَيست سوى قِشرةٍ فارغة، دون سيّدٍ أو أثرٍ مقدّسٍ قديم
Dialogue: 0,0:02:03.16,0:02:04.95,Default,NTP,0,0,0,,!اللّهب المُقدّس لمَذبح غوما مُشتعل
Dialogue: 0,0:02:07.00,0:02:09.58,Default,NTP,0,0,0,,.لابدّ من وُجود بابٍ مَخفيٍّ من نوعٍ ما في مكانٍ ما
Dialogue: 0,0:02:09.58,0:02:10.63,Default,NTP,0,0,0,,.لنَبحث عنه
Dialogue: 0,0:02:10.63,0:02:11.21,Default,NTP,0,0,0,,.حسناً
Dialogue: 0,0:02:14.09,0:02:19.30,Default,NTP,0,0,0,,{\i1}...حتّى سيّدي... حتّى يُثبت تاتسوما سوغورو بأنّه يستحقّ ثِقَتي{\i0}
Dialogue: 0,0:02:20.18,0:02:21.22,Default,NTP,0,0,0,,{\i1}!يجب أن أفعل هذا{\i0}
Dialogue: 0,0:03:54.11,0:03:59.03,Title,NTP,0,0,0,,{\blur2\fad(300,000)\c&HB4611D&\3c&HFFFFFF&\pos(470,562)}الحلقة 6: ذِئبٌ يتنكّر كنعجة
Dialogue: 0,0:03:54.52,0:03:55.90,Default,NTP,0,0,0,,{\a6\i1}.نَصل الشّيطان{\i0}
Dialogue: 0,0:03:55.90,0:03:59.78,Default,NTP,0,0,0,,{\a6\i1}.نَصلٌ شيطانيٌّ تناقلَته طائفة الميو-أو-داراني كموضوع عِبادتها الرّئيسيّ{\i0}
Dialogue: 0,0:03:59.78,0:04:01.95,Default,NTP,0,0,0,,{\a6\i1}.المَعروف أيضاً بإسم كوريكارا{\i0}
Dialogue: 0,0:04:02.86,0:04:04.87,Default,NTP,0,0,0,,{\i1}،يُقال بأنّ فوكاكو، مُؤسّس طائفة الميودا{\i0}
Dialogue: 0,0:04:04.87,0:04:08.24,Default,NTP,0,0,0,,{\i1}،قد استدعى شيطاناً ناريّاً يُدعى كاروما ليسكن هذا السّيف{\i0}
Dialogue: 0,0:04:08.24,0:04:12.54,Default,NTP,0,0,0,,{\i1}.و استخدم لَهبه لهزيمة الملِك المُلوّث{\i0}
